original,corrected
شدهست,شدهست
بیماریمزمن,بیماری مزمن
تجدیدپذیر,تجدید پذیر
فامیلها,فامیل ها
شهوتران,شهوت ران
آزادیهای,آزادی های
هنگامیکه,هنگامی که
پیداکرد,پیدا کرد
راههایی,راه هایی
کمرویی,کم رویی
دستاوردهای,دستاورد های
مادرشوهرشماهم,مادرشوهر شما هم
یاحرفایی,یا حرفایی
میکنین,می کنین
عکسهایی,عکس هایی
هماهنگکننده,هماهنگ کننده
فعالیتها,فعالیت ها
حوزههای,حوزه های
مقالههای,مقاله های
خواهم_پیشنهاد,خواهم پیشنهاد
محیطهای,محیط های
توافقهای,توافق های
میگذارید,می گذارید
خوراکیهای,خوراکی های
امیرارشد,امیر ارشد
خواهد_شمرد,خواهد شمرد
ترنها,ترن ها
نظریهی,نظریه ی
رویهها,رویه ها
میتابید,می تابید
میجوشد,می جوشد
خندهی,خنده ی
خودآیند,خود آیند
شکسته_بود,شکسته بود
سرقیمت,سر قیمت
میرسند,می رسند
مشتريها,مشتري ها
پايينتره,پايين تره
میخواستید,می خواستید
ملیتگرایی,ملیت گرایی
امپراطوریهای,امپراطوری های
پاشیده_شدند,پاشیده شدند
روزنامهها,روزنامه ها
بیثباتی,بی ثباتی
امابعدیکی,اما بعد یکی
پیداشد,پیدا شد
نمیگیره,نمی گیره
میریزم,می ریزم
هرحال,هر حال
میخونن,می خونن
پیربشن,پیر بشن
داشته_است,داشته است
فرارسیدن,فرا رسیدن
افسانهها,افسانه ها
سگها,سگ ها
زندهها,زنده ها
مردههان,مرده هان
برگردوننت,بر گردوننت
مینشیند,می نشیند
بدقول,بد قول
مییاد,می یاد
هکرها,هکر ها
مدلهاى,مدل هاى
نمیدونن,نمی دونن
خانمهای,خانم های
بدمیگم,بد میگم
امادهی,اماده ی
اسلایدسازم,اسلاید سازم
کلانشهرهایی,کلان شهر هایی
نمیخاد,نمی خاد
وبازم,و بازم
اماشوهرجان,اما شوهرجان
غیرقابل,غیر قابل
نمونهها,نمونه ها
بهگردنم,به گردنم
لباسها,لباس ها
باخته_بود,باخته بود
کارشناسانهی,کارشناسانه ی
ماهیها,ماهی ها
عکسها,عکس ها
گرفته_شده_است,گرفته شده است
نمیزد,نمی زد
پنبهای,پنبه ای
پسماندهها,پسمانده ها
موهبتهایی,موهبت هایی
امیرذوالفقار,امیر ذوالفقار
آماده_ایم,آماده ایم
بودجهتان,بودجه تان
خواهم_به,خواهم به
میخرید,می خرید
وانگذاشته,وا نگذاشته
نداشته_است,نداشته است
ناسازگاریها,ناسازگاری ها
کشمکشهای,کشمکش های
تودههای,توده های
حیاتپذیر,حیات پذیر
استانداردسازی,استاندارد سازی
اندازهگیری,اندازه گیری
گلها,گل ها
پژمردهشان,پژمرده شان
پروازهای,پرواز های
مشهورترین,مشهور ترین
گروهایشان,گروهایشان
شغلهایی,شغل هایی
نشدهاند,نشده اند
ادمها,ادم ها
تعجبآوری,تعجب آوری
تنبیهات,تنبیه ات
جریمههای,جریمه های
تبهکاری,تبهکاری
نسلهای,نسل های
میاندازیم,می اندازیم
خاطربچه,خاطر بچه
میگیرند,می گیرند
بندرداری,بندر داری
میسازد,می سازد
ادامهی,ادامه ی
میخوریم,می خوریم
شيوهاى,شيوهاى
درحالی,در حالی
هرسال,هر سال
رفتارهایی,رفتار هایی
زمینههای,زمینه های
تواناتر,توانا تر
امیربهزاد,امیر بهزاد
نشانهها,نشانه ها
چنگالهای,چنگال های
غولهای,غول های
میکوشیدند,می کوشیدند
زنندهی,زننده ی
خواهم_ماشین,خواهم ماشین
میشناسه,می شناسه
هرازگاهی,هر از گاهی
نشده_اند,نشده اند
نبوده_ام,نبوده ام
مذلتبار,مذلت بار
بادهای,باد های
شکوفههای,شکوفه های
نمیتوان,نمی توان
چپاندهاند,چپانده اند
دومتر,دو متر
خواهم_گشت,خواهم گشت
آرزوهایت,آرزو هایت
خلوتتر,خلوت تر
وحشیانهای,وحشیانه ای
سرآغاز,سر آغاز
میرین,می رین
بهکار,به کار
سرمایهگذارنی,سرمایه گذارنی
جدیدابرای,جدیدا برای
کوههای,کوه های
میشکافد,می شکافد
نمامیکند,نما می کند
چشمهای,چشمهای
وقیحانهی,وقیحانه ی
چکیدهی,چکیده ی
ميخواي,مي خواي
ميکنم,مي کنم
بمراتب,به مراتب
موثرتری,موثر تری
نمیخورن,نمی خورن
پرسروصدا,پر سروصدا
لنزهایم,لنز هایم
هلوها,هلو ها
چهجوری,چه جوری
هفتهها,هفته ها
خواهید_شراب,خواهید شراب
افتاده_بودند,افتاده بودند
جامههای,جامه های
بهخانه,به خانه
شمارا,شما را
بهغلط,به غلط
برنامهریزیشده,برنامه ریزی شده
متمرکزتر,متمرکز تر
محتملتر,محتمل تر
مشتاقتر,مشتاق تر
خواهید_پرداخت,خواهید پرداخت
درایورها,درایور ها
فایلهای,فایل های
نخواهد_رساند,نخواهد رساند
شیوههای,شیوه های
سکنهی,سکنه ی
خواهم_یه,خواهم یه
مزهاش,مزه اش
کارگرها,کارگر ها
میبری,می بری
سختگیرانهای,سختگیرانه ای
زندانهای,زندان های
همعصر,هم عصر
پاهام,پا هام
ناحیهای,ناحیه ای
بودهام,بوده ام
دختراست,دختر است
ازبین,از بین
مینشست,می نشست
صحبتهایش,صحبت هایش
کارگرهاش,کارگر هاش
روزانهای,روزانه ای
نخواهم_خورد,نخواهم خورد
جوانهایی,جوان هایی
میخوانیم,می خوانیم
برنمیداشتن,بر نمی داشتن
راهحلهایشان,راه حل هایشان
نیمهوقت,نیمه وقت
بیفایده,بی فایده
بسته_شده_بود,بسته شده بود
میبخشه,می بخشه
زمانبر,زمان بر
پویاسازی,پویا سازی
وامها,وام ها
خداعلت,خدا علت
انجامشان,انجام شان
نفسهای,نفس های
فنآوریها,فنآوری ها
نگرفته_باشند,نگرفته باشند
فنآوریهای,فنآوری های
میلیاردها,میلیارد ها
خواهد_زد,خواهد زد
ازدست,از دست
آتشنشانی,آتش نشانی
برنداشت,بر نداشت
امیرسینا,امیر سینا
مقامهای,مقام های
شیشهی,شیشه ی
ناخنهای,ناخن های
انباشته_شده_بود,انباشته شده بود
تهرانزده,تهران زده
میشناسد,می شناسد
کورهی,کوره ی
پسربچهها,پسربچه ها
قلوهسنگ,قلوه سنگ
کنندهی,کننده ی
جورابهای,جوراب های
خارشآور,خارش آور
طعمهاش,طعمه اش
میخوری,می خوری
همهمون,همه مون
قزوینیها,قزوینی ها
جابه,جا به
جیرههای,جیره های
نمیدانند,نمی دانند
دیده_اید,دیده اید
میمونها,میمون ها
یکنفر,یک نفر
کنایهآمیز,کنایه آمیز
دورههای,دوره های
#برادر_زن_صدام,برادر زن صدام
ترابرهای,ترابر های
چوبها,چوب ها
رودهبر,روده بر
عالمترین,عالم ترین
تاکنون,تا کنون
خسته_بود,خسته بود
میزدی,می زدی
کشته_شوی,کشته شوی
خواهند_گرفت,خواهند گرفت
برجهای,برج های
میشونم,می شونم
برجستهی,برجسته ی
مجموعهی,مجموعه ی
آرمانهایی,آرمان هایی
بافتها,بافت ها
خواهیم_پرداخت,خواهیم پرداخت
شیریننی,شیرینی
سرزمینهای,سرزمین های
پرآوازه,پر آوازه
رنگهاى,رنگ هاى
لولهاى,لوله اى
سیزدهبدر,سیزده به در
کردنهای,کردن های
زگیلهایی,زگیل هایی
میرن,می رن
نوشتههای,نوشته های
میگشتی,می گشتی
اسبها,اسب ها
آمادهی,آماده ی
گلودرد,گلو درد
شعبهها,شعبه ها
شعلهها,شعله ها
میکشیدند,می کشیدند
غذاهای,غذا های
چهقدر,چه قدر
رفته_بودی,رفته بودی
برمیداره,بر می داره
میشوره,می شوره
برادرزاده,برادر زاده
مهمتره,مهم تره
شنیده_ام,شنیده ام
نميکني,نمي کني
جامعهشان,جامعه شان
میشینی,می شینی
ترسیده_بودند,ترسیده بودند
چندرشتهای,چندرشتهای
پارکهای,پارک های
اوهمچنین,او همچنین
بچگیهامون,بچگی هامون
صبحونههاش,صبحونه هاش
هردستگاه,هر دستگاه
شکسته_بودم,شکسته بودم
دوجانبه,دو جانبه
اسکلههای,اسکله های
شانهی,شانه ی
پرندهی,پرنده ی
رسیدهترین,رسیده ترین
دستچین,دست چین
امیرنظام,امیر نظام
جبهههای,جبهه های
کشتیهای,کشتی های
سفارشها,سفارش ها
داشتهباشید,داشته باشید
#رشتهتوییت,رشته توییت
آلوده_شویم,آلوده شویم
دیدارگرانی,دیدار گرانی
آمده_بودند,آمده بودند
تمبرها,تمبر ها
میفروشند,می فروشند
تکخوانی,تک خوانی
بردیگران,بر دیگران
مییای,می ای
مهرآمیز,مهر آمیز
نخواهم_رسید,نخواهم رسید
آموزشهای,آموزش های
نتیجهی,نتیجه ی
کتابخانهی,کتابخانه ی
زبانها,زبان ها
اوتکخال,اوتکخال
پروانهها,پروانه ها
بهخویانه,به خویانه
جناحهای,جناح های
بینیهای,بینی های
خفاشها,خفاش ها
بهجز,به جز
کاغذهاى,کاغذ هاى
چهرهاش,چهره اش
دکمهی,دکمه ی
قماربازان,قمار بازان
دانشپژوه,دانش پژوه
خودساختهای,خودساخته ای
لولهها,لوله ها
لوچهی,لوچه ی
میبخشد,می بخشد
میبندی,می بندی
